t_s,phi_deg,roll_deg,pitch_deg,yaw_deg,pos_x,pos_y,pos_z,u0,u1,u2,u3,wx,wy,wz,wx_dot,wy_dot,wz_dot,pred_wx_dot,pred_wy_dot,pred_wz_dot,pred_nogyro_wx_dot,pred_nogyro_wy_dot,pred_nogyro_wz_dot,tau_gyro_x,tau_gyro_y,tau_gyro_z,flap_damp_x,flap_damp_y,flap_damp_z,flap_prec_x,flap_prec_y,flap_prec_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,spd0,spd1,spd2,spd3,sem_lift,sem_roll,sem_pitch,sem_yaw
0.000000000000000000e+00,0.000000000000000000e+00,1.623538856708581501e-01,-3.075068242565722754e-01,9.569559745685781138e+01,6.808959034440965619e-01,-2.540218470459001954e-01,-5.183864822800120509e-01,5.986869335174560547e-01,6.814405918121337891e-01,7.052592039108276367e-01,9.194967746734619141e-01,6.276060660776495992e-03,-2.549340202692482356e-03,-8.024101566268690422e-03,-1.009080113342585516e+00,-1.207598695517294596e+00,-1.495323103729282455e-01,-2.485464539281123564e+01,-3.859195693098646274e+01,-2.940627501396327226e+00,-2.485354177436045120e+01,-3.859170129061861587e+01,-2.946015540743156969e+00,-2.757847461373275424e-05,-6.789371596018012117e-05,1.010156490524080674e-03,-1.035032328857342176e-04,4.204308513990663045e-05,0.000000000000000000e+00,8.833032661086038816e-07,2.174548879001971956e-06,0.000000000000000000e+00,-2.932072524335435304e+00,-3.574159256908106208e+00,-5.523223462077532231e-01,5.986869335174560547e-01,6.814405918121337891e-01,7.052592039108276367e-01,9.194967746734619141e-01,7.262208759784698486e-01,6.574195623397827148e-02,-1.484956145286560059e-01,-1.723142266273498535e-01
1.000000000021827873e-02,0.000000000000000000e+00,1.594486549103412976e-01,-3.125770479956032077e-01,9.569159803106248319e+01,6.805227634129752401e-01,-2.541705424637887845e-01,-5.184306839722802041e-01,5.978773474771901242e-01,6.810400459504689641e-01,7.072243824014046165e-01,9.213112817922523012e-01,2.548246257139984844e-02,-8.837007196359436545e-03,-2.107794887759677910e-02,-9.807631344435273624e-01,-2.093366092632467534e+00,-6.294685676844911093e-01,-2.485895870522633544e+01,-3.859882764907349184e+01,-2.940920931498043789e+00,-2.485461149364330424e+01,-3.859751734554114933e+01,-2.948829245067040805e+00,-9.568701417508216299e-05,-2.759238170916117859e-04,1.482660716930854321e-03,-4.202361543301967811e-04,1.457327724736596976e-04,0.000000000000000000e+00,3.064752107123112729e-06,8.837542974114262115e-06,0.000000000000000000e+00,-2.932182993722389774e+00,-3.574664076491051556e+00,-5.528445581984088308e-01,5.986347208728429736e-01,6.814147594018818976e-01,7.053859441966360277e-01,9.196137977082342596e-01,7.268632644053290015e-01,6.546210045878442241e-02,-1.486247989320632623e-01,-1.748091353829988592e-01
1.999999999998181011e-02,0.000000000000000000e+00,1.502049546581227524e-01,-3.358619096490736422e-01,9.568183602954528055e+01,6.804246138752944040e-01,-2.541663398183325318e-01,-5.183864150378769686e-01,5.970677614369610531e-01,6.806395000888224578e-01,7.091895608918922234e-01,9.231257889109600878e-01,-3.625720475390877690e-02,8.605192104138140174e-03,-2.455324601779159885e-02,-1.028635218044823718e+00,-2.411266779816303885e+00,-8.858250932559613711e-01,-2.485027018584836966e+01,-3.860441417921446572e+01,-2.941446692183410594e+00,-2.485610401310050221e+01,-3.860699264158169086e+01,-2.954233014113734068e+00,9.334516867243349133e-05,3.933014919814556637e-04,2.397195947621655158e-03,5.978851884411678745e-04,-1.419005391528541506e-04,0.000000000000000000e+00,-2.989780613960263916e-06,-1.259717233244513982e-05,0.000000000000000000e+00,-2.932396786674805078e+00,-3.575640840214806992e+00,-5.538554622333723421e-01,5.985336629344898407e-01,6.813647605914003869e-01,7.056312509050971515e-01,9.198402966094404443e-01,7.275056528321590665e-01,6.518224468360322987e-02,-1.487539833354646346e-01,-1.773040441385343446e-01
3.000000000020008883e-02,0.000000000000000000e+00,1.409652121214242382e-01,-3.591483768220484762e-01,9.567208404350418505e+01,6.803650144411701461e-01,-2.540506926507249408e-01,-5.183541457116773721e-01,5.962581753966951226e-01,6.802389542271576328e-01,7.111547393824692032e-01,9.249402960297504750e-01,-9.890545876137389614e-02,2.631374949571168437e-02,-2.792102783127719742e-02,-1.282587801580607589e+00,-1.928441557229024106e+00,-7.875392492047194049e-01,-2.484214274361286101e+01,-3.861433756273634543e+01,-2.945025229411546430e+00,-2.485831431133328806e+01,-3.862089547528756839e+01,-2.962374962236933307e+00,2.861865667981245082e-04,1.075689106378548447e-03,3.252750043990549917e-03,1.630806241429541559e-03,-4.338752122524805813e-04,0.000000000000000000e+00,-9.166503164474624186e-06,-3.445412448224827959e-05,0.000000000000000000e+00,-2.932707199796466213e+00,-3.577058517854436293e+00,-5.553238377015403682e-01,5.983869098826544164e-01,6.812921539446997743e-01,7.059874773301459960e-01,9.201692109483932125e-01,7.281480412590181084e-01,6.490238890840938080e-02,-1.488831677388718910e-01,-1.797989528941834614e-01
3.999999999996362021e-02,0.000000000000000000e+00,1.317294225066730495e-01,-3.824364533707962366e-01,9.566234207144265156e+01,6.803474278462688929e-01,-2.539404401611677908e-01,-5.183263914729037136e-01,5.954485893564659404e-01,6.798384083655111265e-01,7.131199178729568100e-01,9.267548031484582616e-01,-6.673042849286869860e-02,-3.302391115363809138e-02,-2.203114778076930430e-02,-1.625939161861282400e+00,-1.864643800864352885e+00,-8.144690131577828618e-01,-2.485651855793060605e+01,-3.862812717733697809e+01,-2.950223062663935636e+00,-2.486288706135555771e+01,-3.864161667004211154e+01,-2.971841898257223225e+00,-3.603765797194663132e-04,7.282021645345050035e-04,4.053126877215826665e-03,1.100152088698746989e-03,5.444491464124109675e-04,0.000000000000000000e+00,1.154301301295551970e-05,-2.332462078370219619e-05,0.000000000000000000e+00,-2.933107946307230485e+00,-3.578887846048395716e+00,-5.572205947075087318e-01,5.981974087329771095e-01,6.811983975093010013e-01,7.064474699248346479e-01,9.205939356447276900e-01,7.287904296858480624e-01,6.462253313322813275e-02,-1.490123521422733188e-01,-1.822938616497190578e-01
5.000000000018189894e-02,0.000000000000000000e+00,1.224975810218678074e-01,-4.057261431574467059e-01,9.565261011186319706e+01,6.803209463431371118e-01,-2.539648706201455552e-01,-5.183649664686273972e-01,5.946390033162000099e-01,6.794378625038463015e-01,7.150850963635337898e-01,9.285693102672486487e-01,-1.800531595813868735e-02,-1.058089150033755255e-01,-1.452547191992021279e-02,-2.061100853709132430e+00,-2.415455941334692103e+00,-1.037092915291524697e+00,-2.487464709077793046e+01,-3.864552839951714702e+01,-2.958527027619849648e+00,-2.486765054107254969e+01,-3.866642275545512319e+01,-2.984139638672326456e+00,-1.159347770536207347e-03,1.972841599708506839e-04,4.801884995355771950e-03,2.968009104511734413e-04,1.744161689795701610e-03,0.000000000000000000e+00,3.713513727812323855e-05,-6.319220642420656588e-06,0.000000000000000000e+00,-2.933593131531012421e+00,-3.581101249516424279e+00,-5.595186190683659744e-01,5.979679164391693558e-01,6.810848552988418847e-01,7.070045364960368950e-01,9.211082915996364751e-01,7.294328181127072153e-01,6.434267735803428367e-02,-1.491415365456805753e-01,-1.847887704053680635e-01
5.999999999994543032e-02,0.000000000000000000e+00,1.132696828799326372e-01,-4.290174500415251946e-01,9.564288816327101017e+01,6.802572457936103545e-01,-2.540107785317858302e-01,-5.184015580801785150e-01,5.938294172759709388e-01,6.790373166421997952e-01,7.170502748540212856e-01,9.303838173859564353e-01,-6.187442902776532638e-02,-1.278862759819849870e-01,-5.417544188196956982e-03,-2.252368016694224817e+00,-3.463529840377984392e+00,-1.349759130515353345e+00,-2.487466065155475547e+01,-3.866425607428395494e+01,-2.968241007555779909e+00,-2.487175332099911884e+01,-3.869413314637452572e+01,-2.997589823446975998e+00,-1.407853086052439189e-03,6.811528851363458101e-04,5.502353444974642828e-03,1.019767451405055895e-03,2.107724689779533461e-03,0.000000000000000000e+00,4.509590060005040792e-05,-2.181847176091075908e-05,0.000000000000000000e+00,-2.934157229644777765e+00,-3.583672762586848304e+00,-5.621926296929413702e-01,5.977010121506904916e-01,6.809528033576107697e-01,7.076524164503268377e-01,9.217064982230132042e-01,7.300752065395370582e-01,6.406282158285314665e-02,-1.492707209490820031e-01,-1.872836791609034934e-01
7.000000000016370905e-02,0.000000000000000000e+00,2.613122335437391419e-02,-5.247235966749039804e-01,9.560271802966369137e+01,6.802697769756543833e-01,-2.540303476006499084e-01,-5.184009889734095822e-01,5.930198312357050083e-01,6.786367707805349703e-01,7.190154533445982654e-01,9.321983245047468225e-01,-1.483431047918478130e-01,-1.266347155597805640e-01,4.427527016906449009e-03,-2.050044508286418488e+00,-5.058862898541251596e+00,-1.734878249462480593e+00,-2.486693098767744559e+01,-3.868655676253251130e+01,-2.979417619274284945e+00,-2.487615188017771217e+01,-3.872624615794678959e+01,-3.012261680889613213e+00,-1.401471745892965935e-03,1.641719406442471510e-03,6.157646572387594913e-03,2.444406068408688099e-03,2.086694003202141292e-03,0.000000000000000000e+00,4.489226129423420464e-05,-5.258792892672364502e-05,0.000000000000000000e+00,-2.934795061649024817e+00,-3.586577951633992623e+00,-5.652190472351693584e-01,5.973991086798706718e-01,6.808034354339501659e-01,7.083852529588353653e-01,9.223831477324466732e-01,7.307175949663963221e-01,6.378296580765929757e-02,-1.493999053524892595e-01,-1.897785879165524991e-01
7.999999999992724042e-02,0.000000000000000000e+00,-9.544033035131099796e-02,-6.526209490758732024e-01,9.554952887495552716e+01,6.802870341834814649e-01,-2.540536982379498210e-01,-5.183176469534919173e-01,5.922102451954759372e-01,6.782362249188884640e-01,7.209806318350858723e-01,9.340128316234546091e-01,-1.610352097999981913e-01,-2.344559065071258330e-01,-5.228157594999421204e-02,-2.251882611892848551e+00,-5.761109202838662569e+00,-1.893890339694216385e+00,-2.489137622579579912e+01,-3.869371681194974144e+01,-2.991486672987073270e+00,-2.489244994388376853e+01,-3.875415792193551567e+01,-3.027600561391728728e+00,-2.609912976322471042e-03,1.792609493030848482e-03,6.770677870325703986e-03,2.652981502540553010e-03,3.862553933995553114e-03,0.000000000000000000e+00,8.360240933139972529e-05,-5.742201903562662462e-05,0.000000000000000000e+00,-2.935501774516958484e+00,-3.589793838907739953e+00,-5.685758730234582448e-01,5.970644632295026843e-01,6.806378682877752828e-01,7.091975669172339014e-01,9.231331811097069906e-01,7.313599833932262761e-01,6.350311003247810504e-02,-1.495290897558906318e-01,-1.922734966720879846e-01
9.000000000014551915e-02,0.000000000000000000e+00,-2.168973267286632978e-01,-7.806331413057311375e-01,9.549690549072907686e+01,6.804985774091497630e-01,-2.542396570489973695e-01,-5.180966731728753327e-01,5.914006591552100067e-01,6.778356790572236390e-01,7.229458103256628521e-01,9.358273387422449963e-01,-1.398480111221303557e-01,-3.923649346943324789e-01,-1.395533501765623963e-01,-2.590343579894291093e+00,-5.511605998749506519e+00,-1.922047496732561811e+00,-2.494969934100670983e+01,-3.869752192762385334e+01,-3.005670299773364196e+00,-2.493315966804132344e+01,-3.878367439586872223e+01,-3.044843133979277194e+00,-4.395450836567682713e-03,1.566641162666500406e-03,7.344172931589358980e-03,2.303398726846077587e-03,6.462536605148414513e-03,0.000000000000000000e+00,1.407989160907016993e-04,-5.018401656808595276e-05,0.000000000000000000e+00,-2.936272821478234540e+00,-3.593298828137947432e+00,-5.722425773676059757e-01,5.966991874285613173e-01,6.804571466557850501e-01,7.100842325851626224e-01,9.239518656079133141e-01,7.320023718200854290e-01,6.322325425728425596e-02,-1.496582741592978882e-01,-1.947684054277371013e-01
