t_s,phi_deg,roll_deg,pitch_deg,yaw_deg,pos_x,pos_y,pos_z,u0,u1,u2,u3,wx,wy,wz,wx_dot,wy_dot,wz_dot,pred_wx_dot,pred_wy_dot,pred_wz_dot,pred_nogyro_wx_dot,pred_nogyro_wy_dot,pred_nogyro_wz_dot,tau_gyro_x,tau_gyro_y,tau_gyro_z,flap_damp_x,flap_damp_y,flap_damp_z,flap_prec_x,flap_prec_y,flap_prec_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,spd0,spd1,spd2,spd3,sem_lift,sem_roll,sem_pitch,sem_yaw
0.000000000000000000e+00,8.500000000000000000e+01,-2.042971533537611684e-02,-3.389358146317724141e-01,1.794923290684056951e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.063108325004577637e-01,8.945525288581848145e-01,5.251522064208984375e-01,7.558760643005371094e-01,3.263671976243607761e-03,2.038444126338011166e-03,-2.932988690691532702e-03,1.229486674337492867e-03,-1.651394860321861793e-02,6.295218878393843420e-02,-2.730753397608543764e+01,1.645423232497687627e+00,5.581406471823417093e+01,-2.730681817926585708e+01,1.643499250084897501e+00,5.581354358589150166e+01,2.691295822749037941e-05,2.008641634186535076e-04,9.622200115944059363e-06,-5.327048865796384807e-05,8.877444810625118614e-08,4.727198902941075995e-05,-1.041829366867660458e-06,-1.354570146301693428e-07,-1.253435063075869129e-06,-1.045253801062661081e+00,1.715424415438119299e-01,5.959153996002649833e+00,8.063108325004577637e-01,8.945525288581848145e-01,5.251522064208984375e-01,7.558760643005371094e-01,7.454729080200195312e-01,7.124108076095581055e-02,-1.594827771186828613e-01,-2.099175453186035156e-01
1.000000000021827873e-02,8.500000000000000000e+01,-2.157375490025199155e-02,-3.368831907025813255e-01,1.794910348491937100e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.067544002709738926e-01,8.964152404609084801e-01,5.258764145047996053e-01,7.561585292124188840e-01,1.030106207237253997e-02,-4.172377020310496024e-04,6.435043034656150879e-03,8.433144534695886582e-03,-2.540088718573534771e-02,5.356376782391879254e-02,-2.727708540105317070e+01,1.646829593053522833e+00,5.582940048460631033e+01,-2.727109271928664924e+01,1.643955114604351841e+00,5.582976601577857423e+01,-6.371794426285376696e-05,3.011510997626768425e-04,6.910926437490425738e-05,-1.681246687618070728e-04,-6.971609674653304050e-07,-1.041806290559592818e-04,2.453994103369049741e-06,-4.275367403465811678e-07,-3.956015506658863764e-06,-1.043886289574655013e+00,1.715848271130451796e-01,5.960885324016347298e+00,8.063394395233210998e-01,8.946726607454610347e-01,5.251989127836936833e-01,7.558942813143271211e-01,7.463011461122752710e-01,7.031063725884234561e-02,-1.599714774487769331e-01,-2.105673485073319418e-01
1.999999999998181011e-02,8.500000000000000000e+01,-2.293481975239964124e-02,-3.376199480464852076e-01,1.794921421645772739e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.071979680414698155e-01,8.982779520635474357e-01,5.266006225886677994e-01,7.564409941242876689e-01,3.758064104651663399e-03,2.131982437566161837e-03,5.593375086786952013e-03,6.377528299565071029e-03,-3.005437426267286091e-02,4.790678050991898501e-02,-2.720499592888895535e+01,1.649224305031743221e+00,5.586012757815623786e+01,-2.720192986574833327e+01,1.644711559155779490e+00,5.586115021282690662e+01,-5.827218272178010330e-05,4.720926346103354381e-04,-1.691047577316701057e-05,-6.132734069999644464e-05,-9.145503783289913967e-07,-9.083203550291164613e-05,2.236376711390544656e-06,-1.559727446813987126e-07,-1.443120793065358266e-06,-1.041238830292483986e+00,1.716668821368945164e-01,5.964236995516635886e+00,8.063948086158928552e-01,8.949051768524037831e-01,5.252893132751271787e-01,7.559295404717633060e-01,7.471293842044932632e-01,6.938019375677112466e-02,-1.604601777788487449e-01,-2.112171516960308915e-01
3.000000000020008883e-02,8.500000000000000000e+01,-2.429589896565814006e-02,-3.383566792750624663e-01,1.794932494978094155e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.076415358119859444e-01,9.001406636662709904e-01,5.273248306725689671e-01,7.567234590361694435e-01,-5.115955364450634757e-03,5.540274795489073464e-03,2.999251366220297664e-03,-7.026213120047768504e-03,-2.962818652152910195e-02,4.909000973104993282e-02,-2.710018620163868519e+01,1.651846571637657357e+00,5.590516122451501957e+01,-2.710145406671216861e+01,1.645829709589810452e+00,5.590677371932238060e+01,-3.632001009353370662e-05,6.288381323836192026e-04,-1.249226266557697230e-04,8.346998452249206513e-05,-1.034800389895102765e-06,-4.920606742894967443e-05,1.381522739793159993e-06,2.123250367120654091e-07,1.964313391255608666e-06,-1.037392793917558009e+00,1.717860807650198884e-01,5.969105766444494421e+00,8.064752138116120239e-01,8.952428291818572692e-01,5.254205899291087833e-01,7.559807426736212532e-01,7.479576222967488919e-01,6.844975025465771523e-02,-1.609488781089427611e-01,-2.118669548847592066e-01
3.999999999996362021e-02,8.500000000000000000e+01,-2.565699254133911936e-02,-3.390933843883621734e-01,1.794943568488874064e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.080851035824819784e-01,9.020033752689099460e-01,5.280490387564371613e-01,7.570059239480383395e-01,-5.583810826306000868e-03,5.587841657151166458e-03,-9.119716244562394575e-04,-1.163522617052965835e-02,-3.452003815397729908e-02,4.998324744782572243e-02,-2.696919439191587742e+01,1.654830948802153090e+00,5.596445365478179923e+01,-2.697164081938070979e+01,1.647318480262988771e+00,5.596568569879840283e+01,2.682900245158952626e-06,7.844759546321392616e-04,-1.478028127234038943e-04,9.107995466552718628e-05,-5.866932441457564598e-07,1.411516143246716052e-05,-1.181997606294899544e-07,2.317352421730766587e-07,2.143602816458311054e-06,-1.032423838229189927e+00,1.719400729096493829e-01,5.975395547869020163e+00,8.065790404567021454e-01,8.956788371818439343e-01,5.255901065186733279e-01,7.560468597048976003e-01,7.487858603889668840e-01,6.751930675258660530e-02,-1.614375784390145729e-01,-2.125167580734582118e-01
5.000000000018189894e-02,8.500000000000000000e+01,-2.701810048100177983e-02,-3.398300633865669051e-01,1.794954642178086317e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.085286713529981073e-01,9.038660868716336116e-01,5.287732468403383290e-01,7.572883888599200031e-01,-2.329473626595385261e-03,4.147301961647295587e-03,-5.406397278764856103e-03,-5.449557760051237931e-03,-4.557929543343623713e-02,4.921463733979185989e-02,-2.681210033860794439e+01,1.658064693791684974e+00,5.603663799268366574e+01,-2.681433077743515980e+01,1.649111152656982604e+00,5.603705380934960800e+01,4.929474141098781246e-05,9.343264235492997711e-04,-1.323000530298895790e-04,3.798524827963890301e-05,1.112132530146137760e-07,8.700964348361865067e-05,-1.902974508385585803e-06,9.667256769112565335e-08,8.940998986472499494e-07,-1.026402346315218539e+00,1.721266709799993966e-01,5.983016870013850408e+00,8.067047780312798233e-01,8.962068575986373853e-01,5.257953968350849161e-01,7.561269296632761039e-01,7.496140984812225128e-01,6.658886325047308485e-02,-1.619262787691085892e-01,-2.131665612621866934e-01
5.999999999994543032e-02,8.500000000000000000e+01,-2.828571944545231823e-02,-3.405671107344133697e-01,1.794965322528637159e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.089722391234940302e-01,9.057287984742725673e-01,5.294974549242065232e-01,7.575708537717888991e-01,-1.401103811558395036e-03,2.799018078325957171e-03,-1.734162034534116048e-03,4.676436835568228284e-03,-4.706173891304900325e-02,4.381362834599377559e-02,-2.663028568447521138e+01,1.661455578164491298e+00,5.611908589480327691e+01,-2.663123724062360509e+01,1.651185103635300466e+00,5.612012235524061765e+01,1.413442481927437183e-05,1.072079004119699678e-03,-1.389297334856347081e-04,2.283866105082844346e-05,-1.466712792881658595e-07,2.773028945228927247e-05,-5.493011255295657728e-07,5.814295457621446979e-08,5.376493448084172474e-07,-1.019393827072309966e+00,1.723438377340784922e-01,5.991886390959336950e+00,8.068510134334402339e-01,8.968209562740577789e-01,5.260341537228404585e-01,7.562200526824196523e-01,7.504423365734405049e-01,6.565841974840191941e-02,-1.624149790991804565e-01,-2.138163644508855876e-01
7.000000000016370905e-02,8.500000000000000000e+01,-2.783125205087256734e-02,-3.413114121914275212e-01,1.794968755342303552e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.094158068940101591e-01,9.075915100769961219e-01,5.302216630081075799e-01,7.578533186836706736e-01,-6.042070603993060507e-04,1.455948865778398504e-03,2.399685843576322003e-03,1.917716906322797579e-02,-3.791154799726079161e-02,3.326950967549038851e-02,-2.642434050256676770e+01,1.665038942362570884e+00,5.621242710721253388e+01,-2.642395108032355466e+01,1.653537864986802663e+00,5.621415581354246171e+01,-2.573221172011113585e-05,1.200866709879158363e-03,-1.458335904777945059e-04,9.844843600876092887e-06,-4.559722382970248528e-07,-3.897036655127833157e-05,9.810149991170329507e-07,2.507213237997550615e-08,2.317938606888181902e-07,-1.011459281638934282e+00,1.725896751418011243e-01,6.001926445826397227e+00,8.070164246964836030e-01,8.975155817616884413e-01,5.263042188218554074e-01,7.563253869310856414e-01,7.512705746656960226e-01,6.472797624628856550e-02,-1.629036794292745283e-01,-2.144661676396140138e-01
7.999999999992724042e-02,8.500000000000000000e+01,-2.737678909050421383e-02,-3.420557164070950340e-01,1.794972188098008132e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.098593746645060820e-01,9.094542216796350775e-01,5.309458710919758850e-01,7.581357835955395696e-01,4.630069190588381126e-04,1.224366343010986971e-04,1.251961684874461833e-03,-3.174275362721685340e-02,-9.944526399250600002e-03,-2.616074825918092428e-02,-2.619447302565845703e+01,1.668813631482238158e+00,5.631688840652364547e+01,-2.619395677657555765e+01,1.656152241624085697e+00,5.631847570012862292e+01,-1.270554000133672471e-05,1.321722261580819072e-03,-1.490469428389000885e-04,-7.540742671509356446e-06,-1.585291094612451488e-07,-2.024915825237340325e-05,4.852359897572587091e-07,-1.921184673384524224e-08,-1.775736346144379596e-07,-1.002655539033041832e+00,1.728624141644602707e-01,6.013064632683237321e+00,8.071997751113256792e-01,8.982855406446186297e-01,5.266035729711903146e-01,7.564421448702650652e-01,7.520988127579142368e-01,6.379753274421734455e-02,-1.633923797593463401e-01,-2.151159708283129079e-01
9.000000000014551915e-02,8.500000000000000000e+01,-2.692233056404789993e-02,-3.428000233816095865e-01,1.794975620795750899e+02,-3.227622807025909424e-02,-3.788765668869018555e-01,-1.148105263710021973e-01,8.103029424350222110e-01,9.113169332823587432e-01,5.316700791758769418e-01,7.584182485074212332e-01,1.556890297708212259e-03,-1.210132708976620515e-03,-4.168404444295694539e-04,-5.887739803651344250e-02,2.915938160253746334e-03,-3.558984867477456293e-02,-2.594316052942841822e+01,1.670424559467086345e+00,5.643110274835222384e+01,-2.594263897052470114e+01,1.659006415091623277e+00,5.643245010162038966e+01,5.589456291336901813e-06,1.191646999800354901e-03,-1.501306183699116460e-04,-2.534372580280406584e-05,1.971969136768516578e-07,6.872036475712297835e-06,-2.100271542191306608e-07,-6.459714834574351003e-08,-5.969145265635868409e-07,-9.930355639163874759e-01,1.731604053655775299e-01,6.025233431807524909e+00,8.073999077279822023e-01,8.991259744450632585e-01,5.269303272316865350e-01,7.565695897517152879e-01,7.529270508501697545e-01,6.286708924210387961e-02,-1.638810800894404118e-01,-2.157657740170412786e-01
