t_s,phi_deg,roll_deg,pitch_deg,yaw_deg,pos_x,pos_y,pos_z,u0,u1,u2,u3,wx,wy,wz,wx_dot,wy_dot,wz_dot,pred_wx_dot,pred_wy_dot,pred_wz_dot,pred_nogyro_wx_dot,pred_nogyro_wy_dot,pred_nogyro_wz_dot,tau_gyro_x,tau_gyro_y,tau_gyro_z,flap_damp_x,flap_damp_y,flap_damp_z,flap_prec_x,flap_prec_y,flap_prec_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,spd0,spd1,spd2,spd3,sem_lift,sem_roll,sem_pitch,sem_yaw
0.000000000000000000e+00,8.500000000000000000e+01,3.449770109988202216e-01,2.373281511453403103e-01,9.235128428523873367e+01,nan,nan,nan,9.955552220344543457e-01,9.999997615814208984e-01,8.782463073730468750e-01,9.757212996482849121e-01,2.747534393994987504e-05,2.359068219211037098e-03,-1.951922893791704309e-03,4.461569183084099222e-01,-3.574621317203536056e-03,7.228772492001364069e-01,-3.225638689278169835e+01,1.593782525320893262e+00,2.516601300297690003e+01,-3.225651397412234189e+01,1.589148958605540063e+00,2.516612213005493714e+01,5.307131833845194186e-06,4.837972539259600686e-04,-3.517879663713916388e-05,-3.346606632131242130e-07,-1.641445601543997436e-07,2.352918582181238601e-05,-1.080357879928171216e-07,-2.086949164721097153e-10,-1.772941948113506751e-09,-1.234718869790601747e+00,1.658689266136405271e-01,2.686960490101775179e+00,9.955552220344543457e-01,9.999997615814208984e-01,8.782463073730468750e-01,9.757212996482849121e-01,9.623806476593017578e-01,4.651522636413574219e-02,-5.095976591110229492e-02,7.079368829727172852e-02
1.000000000021827873e-02,8.500000000000000000e+01,3.459404417237046947e-01,2.376780154532805722e-01,9.234934669903346105e+01,nan,nan,nan,9.935029361891722921e-01,9.999997615814208984e-01,8.760474953451908853e-01,9.738690657541156925e-01,1.702341940068395208e-04,1.678911929095342273e-03,-2.946596677200926523e-03,1.623944755507827353e-01,-1.346235129375547290e-01,7.802841891361826931e-01,-3.220987656477430505e+01,1.596271424488243218e+00,2.518511400128620537e+01,-3.221004645139279887e+01,1.589468415461743778e+00,2.518526062256371034e+01,8.754363454115336431e-06,7.101454896553855995e-04,-5.121895354170655538e-05,-2.073740830340205945e-06,-7.370501192745438200e-08,3.557535619023035023e-05,-1.776814853732935348e-07,-1.294479946684277788e-09,-1.100278926117614725e-08,-1.232940180988271184e+00,1.659023009072614352e-01,2.689003901496953119e+00,9.954228639327151740e-01,9.999997615814208984e-01,8.781044993560216394e-01,9.756018435000233247e-01,9.608548147174749143e-01,4.566237250833810046e-02,-5.215919790058670680e-02,7.179306833564330637e-02
2.000000000043655746e-02,8.500000000000000000e+01,3.472249877281811670e-01,2.384681948377887772e-01,9.234735778911674231e+01,nan,nan,nan,9.914506503438903495e-01,9.999997615814208984e-01,8.738486833173347845e-01,9.720168318599464730e-01,8.218823964303830030e-04,-6.781741384762045993e-04,-4.015072768926914934e-03,-3.953446320182782414e-01,-2.347314830407327246e+00,4.841037087033687181e-01,-3.212004708946246723e+01,1.601089334744062675e+00,2.522199073983722428e+01,-3.212012121291689937e+01,1.590085288085549164e+00,2.522229555672825896e+01,1.311677629062247657e-05,1.148390145293583589e-03,-8.105930435523861402e-05,-1.001397967353131288e-05,1.738771459355554200e-07,4.856761203699286816e-05,-2.654897978131247710e-07,-6.263048478796910931e-09,-5.328769017686032146e-08,-1.229497993157236735e+00,1.659668792280895588e-01,2.692958026872357635e+00,9.951666839022734745e-01,9.999997615814208984e-01,8.778300289485359009e-01,9.753706352906580390e-01,9.593289817756480709e-01,4.480951865254056976e-02,-5.335862989007111867e-02,7.279244837401488422e-02
2.999999999974534148e-02,8.500000000000000000e+01,3.485095066962854427e-01,2.392584189956790952e-01,9.234536895122525380e+01,nan,nan,nan,9.893983644987950354e-01,9.999997615814208984e-01,8.716498712896787460e-01,9.701645979659456742e-01,-6.945517688300728923e-03,-1.459854847665792085e-02,-5.826773549564596456e-03,-7.516969044319281590e-01,-3.528246062590766563e+00,4.684702417587552903e-01,-3.198673188299706638e+01,1.605926203703001987e+00,2.527538792628005737e+01,-3.198956840108284183e+01,1.591012076778341777e+00,2.527599256245968107e+01,2.441681278862593867e-05,1.555110514945310307e-03,-1.358882998315056765e-04,8.465087474930780350e-05,1.512472383688196064e-06,7.087955988374430318e-05,-4.910950219518302867e-07,5.309152136600329986e-08,4.523687064239381749e-07,-1.224500479329134528e+00,1.660606158378701291e-01,2.698697938695417520e+00,9.947946675926424565e-01,9.999997615814208984e-01,8.774314519481363206e-01,9.750348822475494170e-01,9.578031488339601163e-01,4.395666479682053263e-02,-5.455806187944639563e-02,7.379182841229581236e-02
3.999999999996362021e-02,8.500000000000000000e+01,3.497939986296376702e-01,2.400486879272531182e-01,9.234338018536104187e+01,nan,nan,nan,9.873460786535129818e-01,9.999997615814208984e-01,8.694510592618227562e-01,9.683123640717764546e-01,-1.706680395465158540e-02,-3.175190872359017619e-02,-7.846272915802549736e-03,-6.899804256331908414e-01,-2.214641495440713648e+00,9.984625736367883642e-01,-3.181463829548116706e+01,1.610797494898430493e+00,2.534417064388431484e+01,-3.182104135371593401e+01,1.592232355848610892e+00,2.534510478267781508e+01,3.776691208493814514e-05,1.934466030290572271e-03,-1.966692635896499547e-04,2.080878563113234463e-04,3.156906374552383900e-06,9.581415949668226084e-05,-7.577079198855700827e-07,1.309798313020283856e-07,1.118084085218605557e-06,-1.218049187398646316e+00,1.661815837773007176e-01,2.706106094711405063e+00,9.943142856346978142e-01,9.999997615814208984e-01,8.769167723631643430e-01,9.746013267822140058e-01,9.562773158921332728e-01,4.310381094102289090e-02,-5.575749386893080750e-02,7.479120845066739021e-02
5.000000000018189894e-02,8.500000000000000000e+01,3.504408646374138625e-01,2.397939910615148607e-01,9.234424436646303036e+01,nan,nan,nan,9.852937928082309282e-01,9.999997615814208984e-01,8.672522472339667665e-01,9.664601301776071240e-01,1.905447397418862793e-02,-7.828003883046019684e-02,1.871853337283992461e-02,-4.006105215657126406e-01,-1.161132721595386386e+00,1.048762905743746865e+00,-3.162375182268307228e+01,1.615948919380790327e+00,2.542723470782496520e+01,-3.161690712745511789e+01,1.593781012385000917e+00,2.543033814602911491e+01,-3.020200799400033864e-05,2.307203907978805282e-03,-1.056447813867178014e-04,-2.324313715219725673e-04,6.739254301204749181e-06,-2.244489546433155462e-04,6.312832177424779484e-07,-1.469398899456935568e-07,-1.257108634785014869e-06,-1.210239414689720627e+00,1.663279691798556503e-01,2.715071962431863994e+00,9.937325268558182545e-01,9.999997615814208984e-01,8.762934779993447609e-01,9.740762764677325380e-01,9.547514829503064293e-01,4.225095708522519367e-02,-5.695692585841516387e-02,7.579058848903902357e-02
6.000000000040017767e-02,8.500000000000000000e+01,3.351902486587993168e-01,2.135216080218739487e-01,9.241619575235702655e+01,nan,nan,nan,9.832415069629489857e-01,9.999997615814208984e-01,8.650534352061107768e-01,9.646078962834379045e-01,6.667143742122856598e-02,-1.321105995519900600e-01,5.238926456602684134e-02,2.419849053498747751e-02,-8.848053010566135912e-01,5.149272178156900637e-01,-3.140370582815824818e+01,1.623066155485093587e+00,2.552675572794762715e+01,-3.137938490626271459e+01,1.597468616372728301e+00,2.553245857381976691e+01,-1.197008862830662064e-04,2.661470195719231168e-03,2.648084398233885414e-05,-8.137184755341764393e-04,1.081413395384096667e-05,-6.309332091451965753e-04,2.460084840919869334e-06,-5.170170475142161148e-07,-4.434512043115403390e-06,-1.201160565515293044e+00,1.664980656844965157e-01,2.725491654167829125e+00,9.930559293528338216e-01,9.999997615814208984e-01,8.755685737512354239e-01,9.734656320827804743e-01,9.532256500084796969e-01,4.139810322942760745e-02,-5.815635784789952023e-02,7.678996852741060142e-02
6.999999999970896170e-02,8.500000000000000000e+01,3.199069624836801684e-01,1.872686596607459619e-01,9.248820750904586419e+01,nan,nan,nan,9.811892211178535605e-01,9.999997615814208984e-01,8.628546231784547382e-01,9.627556623894371057e-01,7.694863692274178657e-02,-7.320480034709213324e-02,8.820003173535329033e-02,2.206211035962750977e-01,-6.695227536242494004e-01,1.967168599560068232e-01,-3.114254077904886486e+01,1.630053804851004706e+00,2.563111444351976687e+01,-3.111126931378530713e+01,1.601471573169180873e+00,2.564078650193529185e+01,-2.626319194166880605e-04,2.979511078423837094e-03,3.944901802809366084e-05,-9.397301231186584464e-04,4.386813296692736609e-06,-1.066959527453157893e-03,5.349000974080322745e-06,-6.004741770641363166e-07,-5.165031317294432558e-06,-1.190896491898765674e+00,1.666902689756872558e-01,2.737267573703995538e+00,9.922906095610098953e-01,9.999997615814208984e-01,8.747486127466378436e-01,9.727749138470368484e-01,9.516998170667915202e-01,4.054524937370751481e-02,-5.935578983727485269e-02,7.778934856569130751e-02
7.999999999992724042e-02,8.500000000000000000e+01,3.045909954996756097e-01,1.610351403681826166e-01,9.256027958615538864e+01,nan,nan,nan,9.791369352725716180e-01,9.999997615814208984e-01,8.606558111505986375e-01,9.609034284952678862e-01,5.681063040759420923e-02,7.753070668046885272e-02,1.257539710205134720e-01,-3.237861246937293741e-02,-5.695792144053341000e-01,3.085844676414704058e-01,-3.084489833004959181e+01,1.634922534599172694e+00,2.574193171604391495e+01,-3.081522837340398624e+01,1.603744832561229128e+00,2.575671008705796083e+01,-4.505746941455934080e-04,3.265258158306972181e-03,-4.677588038371686789e-05,-6.942710510813500813e-04,-1.060966271406533450e-05,-1.527243496267019626e-03,9.135449977760102112e-06,-4.464091307370949056e-07,-3.851808837431619074e-06,-1.179525817731139847e+00,1.669030714729025089e-01,2.750308075415116349e+00,9.914422894482364246e-01,9.999997615814208984e-01,8.738397254823579985e-01,9.720092859645483863e-01,9.501739841249647878e-01,3.969239551790998410e-02,-6.055522182675926457e-02,7.878872860406299639e-02
9.000000000014551915e-02,8.500000000000000000e+01,2.892423370712818298e-01,1.348210445659459300e-01,9.263241193244334681e+01,nan,nan,nan,9.770846494272895644e-01,9.999997615814208984e-01,8.584569991227426478e-01,9.590511946010986666e-01,-8.180095904546366703e-03,-1.125194678331974951e-01,1.054221137161671651e-01,-2.600777366445507499e-01,-4.703885102677995422e-01,5.674952869202289918e-01,-3.049516681656781358e+01,1.633735727237965785e+00,2.587749590663853283e+01,-3.048983917401514177e+01,1.600713599293227096e+00,2.589204302132377222e+01,-3.103092677940131878e-04,3.439044550101787515e-03,-2.772668799645378393e-04,1.000420697510373048e-04,7.606468244896291659e-06,-1.276473992173842841e-03,6.335032966062995384e-06,6.476354156027595098e-08,5.606825206650055648e-07,-1.167122246726063794e+00,1.671350571864605727e-01,2.764527136373413185e+00,9.905163219554549148e-01,9.999997615814208984e-01,8.728476470809928278e-01,9.711735795842837415e-01,9.486481511831379443e-01,3.883954166211234238e-02,-6.175465381624367645e-02,7.978810864243457424e-02
1.000000000003637979e-01,8.500000000000000000e+01,2.744905224850139325e-01,1.098179985330102332e-01,9.270436115518150189e+01,nan,nan,nan,9.750458369935037783e-01,9.999997615814208984e-01,8.570101199776449796e-01,9.572209244667778671e-01,-1.105111018631241004e-01,-5.862766885604629996e-01,3.689982689066927113e-02,-2.143285702183320984e-01,-2.745778366018003513e-01,7.681052565012771449e-01,-3.008680336310013104e+01,1.632293921519776481e+00,2.597816699913244065e+01,-3.012497805137597240e+01,1.600858201880448695e+00,2.598782678714400518e+01,1.107608385759279118e-04,3.226733367527563363e-03,-6.065523151088915649e-04,1.352614622001925690e-03,5.351785872478883699e-05,-4.324725820141606504e-04,-2.119988901129975409e-06,8.816909601817862844e-07,7.659454552592372904e-06,-1.153179430438068032e+00,1.673703809346178129e-01,2.778975514120396895e+00,9.895185837372356685e-01,9.999997615814208984e-01,8.718262372084545353e-01,9.702737307889417462e-01,9.473191607548369086e-01,3.762843995060788371e-02,-6.258236453852500381e-02,8.040727706525091500e-02
